RBD;DV_RBD;NOM_RBD;COD_DEPE2;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;RURAL_RBD;EFECTIVR;SUPERAR;INICIAR;MEJORAR;INTEGRAR;IGUALDR;CLUSTER;INDICER;SEL2022_25;SEL2022_35;SEL
10628;3;COLEGIO ARAGON;2;13;13401;SAN BERNARDO;0;48.21947;60.59266;86.075;74.32432;76.0;82.86249;1333;63.4879;2;1;2
10629;1;ESCUELA PARTICULAR EL BOSQUE;2;13;13105;EL BOSQUE;0;40.25595;57.3112;97.0875;100.0;92.6;87.03184;1313;62.5441;2;1;2
10631;3;COLEGIO QUILLAHUE SAN BERNARDO;2;13;13401;SAN BERNARDO;0;40.38694;63.02531;88.75;90.54054;85.0;77.73411;1313;61.0776;2;2;3
10632;1;CENTRO EDUC. DENVER COLORADO SCHOOL;2;13;13105;EL BOSQUE;0;31.88265;63.21788;90.77778;100.0;67.8;87.19909;1333;59.5181;2;2;3
10638;0;LICEO 131;1;13;13402;BUIN;0;31.37189;61.53082;83.9625;94.59459;57.2;84.64533;1333;57.2478;2;2;3
10640;2;COLEGIO DE MAIPO;1;13;13402;BUIN;0;29.41398;66.06992;90.7;97.2973;67.8;71.45715;1313;55.8813;2;2;3
10641;0;LICEO ALTO JAHUEL;1;13;13402;BUIN;0;30.07416;65.29257;96.6375;100.0;77.6;81.52387;1333;59.0229;2;2;3
10642;9;LICEO POLIVALENTE LOS GUINDOS;1;13;13402;BUIN;0;23.22593;64.93975;93.61111;98.64865;73.2;86.12079;1341;56.9729;2;2;3
10643;7;ESCUELA VILLASECA;1;13;13402;BUIN;0;32.66986;61.47675;94.2;97.2973;54.2;90.61352;1312;59.5443;2;2;3
10645;3;LICEO FRANCISCO JAVIER KRUGGER ALVARADO;1;13;13402;BUIN;0;30.56562;61.77071;96.78889;98.64865;98.0;85.68744;1333;60.1366;2;2;3
10646;1;ESCUELA VALDIVIA DE PAINE;1;13;13402;BUIN;0;35.98311;61.6808;98.6375;100.0;86.4;90.01678;1313;62.6263;2;1;2
10648;8;ESCUELA LO SALINAS;1;13;13402;BUIN;1;28.34722;62.9325;93.525;100.0;50.2;85.05863;1322;56.944;2;2;3
10649;6;ESCUELA HUMBERTO MORENO RAMIREZ;1;13;13402;BUIN;1;31.59921;66.0155;88.6625;100.0;61.4;86.01735;1322;59.4896;2;2;3
10651;8;ESCUELA LOS ROSALES DEL BAJO;1;13;13402;BUIN;1;33.97704;68.24547;84.425;100.0;58.8;87.33846;1322;60.9002;2;2;3
10652;6;ESCUELA VILUCO;1;13;13402;BUIN;1;32.42065;64.59458;84.7375;97.2973;60.4;79.79108;1322;57.6864;2;2;3
10656;9;ESCUELA BASICA G-N°813 LOS AROMOS DE EL RECURSO;1;13;13402;BUIN;1;25.51993;56.06553;96.65;100.0;74.0;85.64619;1322;55.4819;2;2;3
10658;5;LICEO POLIVALENTE MODERNO CARDENAL CARO;2;13;13402;BUIN;0;45.89968;59.41514;99.38889;100.0;89.8;87.9929;1332;65.4309;2;2;3
